City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Chiang Klang,TH,2022-10-14 14:47:44,19.2938,100.8617,71.85,95,57,1.16
238,Ulladulla,AU,2022-10-14 14:47:44,-35.35,150.4667,52.59,78,0,7.36
239,Cudahy,US,2022-10-14 14:47:45,33.9606,-118.1853,67.62,88,100,3.44
240,Nanortalik,GL,2022-10-14 14:47:45,60.1432,-45.2371,34.66,66,2,7.47
241,Yumen,CN,2022-10-14 14:47:45,40.2833,97.2,51.03,23,100,16.64
242,Norman Wells,CA,2022-10-14 14:47:46,65.282,-126.8329,21.24,86,40,4.61
243,Katherine,AU,2022-10-14 14:45:06,-14.4667,132.2667,84.52,61,100,6.91
244,Avera,US,2022-10-14 14:47:46,33.194,-82.5271,65.55,39,0,5.59
245,Dakoro,NE,2022-10-14 14:47:47,14.5106,6.765,98.26,11,100,11.74
246,Conakry,GN,2022-10-14 14:47:47,9.538,-13.6773,78.87,78,75,4.61
247,Ukiah,US,2022-10-14 14:47:47,39.1502,-123.2078,67.37,83,0,0.0
248,Sao Filipe,CV,2022-10-14 14:47:48,14.8961,-24.4956,79.21,78,61,5.73
249,Pilar,BR,2022-10-14 14:47:48,-9.5972,-35.9567,82.33,53,93,10.13
250,Soyaniquilpan,MX,2022-10-14 14:47:48,19.9833,-99.5,59.43,51,85,3.6
251,Mount Isa,AU,2022-10-14 14:47:49,-20.7333,139.5,71.37,46,32,9.22
252,Hofn,IS,2022-10-14 14:47:49,64.2539,-15.2082,44.62,53,20,13.8
253,Soubre,CI,2022-10-14 14:47:49,5.7856,-6.6083,80.4,88,75,4.65
254,Tolaga Bay,NZ,2022-10-14 14:47:49,-38.3667,178.3,52.39,77,100,10.65
255,Hami,CN,2022-10-14 14:47:50,42.8,93.45,55.78,33,0,5.86
256,Ust-Ishim,RU,2022-10-14 14:47:50,57.6935,71.1665,46.45,50,89,10.04
257,Northam,GB,2022-10-14 14:47:50,51.0333,-4.2167,60.39,88,100,13.69
258,Ust-Karsk,RU,2022-10-14 14:47:51,52.7011,118.8077,37.17,82,90,8.37
259,Aldan,RU,2022-10-14 14:47:51,58.6031,125.3894,28.15,99,100,3.13
260,Boyolangu,ID,2022-10-14 14:47:51,-8.1181,111.8935,75.81,89,99,5.53
261,Talara,PE,2022-10-14 14:47:52,-4.5772,-81.2719,65.16,77,0,17.27
262,Vardo,NO,2022-10-14 14:47:52,70.3705,31.1107,39.18,93,40,3.44
263,Kenitra,MA,2022-10-14 14:47:52,34.261,-6.5802,81.36,42,0,12.53
264,Kaeo,NZ,2022-10-14 14:47:53,-35.1,173.7833,54.32,94,64,12.73
265,Punta Alta,AR,2022-10-14 14:47:53,-38.8759,-62.0736,58.91,30,60,4.36
266,Cooma,AU,2022-10-14 14:47:53,-36.2333,149.1333,38.8,93,4,2.53
267,Antalaha,MG,2022-10-14 14:47:54,-14.9003,50.2788,71.8,76,28,11.01
268,Amapa,BR,2022-10-14 14:47:54,1.0,-52.0,92.84,42,62,6.35
269,Sibolga,ID,2022-10-14 14:47:54,1.7427,98.7792,76.62,88,100,2.71
270,Bardiyah,LY,2022-10-14 14:47:55,31.7561,25.0865,80.28,48,98,4.0
271,Slave Lake,CA,2022-10-14 14:47:55,55.2834,-114.769,58.98,47,0,14.97
272,San Cristobal,VE,2022-10-14 14:47:55,7.7669,-72.225,71.78,52,98,3.4
273,Chicama,PE,2022-10-14 14:47:56,-7.8447,-79.1469,57.74,61,8,7.43
274,Tak,TH,2022-10-14 14:47:56,16.5833,98.8333,68.59,95,100,1.79
275,Sorland,NO,2022-10-14 14:47:57,67.667,12.6934,48.06,61,0,23.02
276,Kurilsk,RU,2022-10-14 14:48:57,45.2333,147.8833,50.23,85,1,7.58
277,Grimshaw,CA,2022-10-14 14:48:57,56.1834,-117.6027,57.15,54,100,19.57
278,Bosaso,SO,2022-10-14 14:48:58,11.2842,49.1816,84.18,70,0,13.8
279,Portland,US,2022-10-14 14:44:05,45.5234,-122.6762,60.24,79,0,5.01
280,Ulaangom,MN,2022-10-14 14:48:58,49.9811,92.0667,36.41,38,0,3.94
281,Bulata,PH,2022-10-14 14:48:58,9.8599,122.4016,81.46,80,72,7.78
282,Poienile De Sub Munte,RO,2022-10-14 14:48:59,47.8167,24.4333,51.94,81,47,1.97
283,Port Hawkesbury,CA,2022-10-14 14:48:59,45.6169,-61.3485,60.91,78,75,9.22
284,Shobara,JP,2022-10-14 14:48:59,34.85,133.0167,56.8,94,2,1.57
285,Abonnema,NG,2022-10-14 14:49:00,4.7084,6.7931,72.73,93,100,3.49
286,Sadon,RU,2022-10-14 14:49:00,42.8518,44.0037,46.98,87,100,2.55
287,Camacha,PT,2022-10-14 14:49:00,33.0833,-16.3333,71.02,68,40,18.41
288,Dusti,TJ,2022-10-14 14:49:01,37.3481,68.664,65.88,15,13,1.16
289,Kyshtovka,RU,2022-10-14 14:49:01,56.555,76.6271,40.89,65,100,12.21
290,Inhambane,MZ,2022-10-14 14:49:01,-23.865,35.3833,80.58,57,0,10.36
291,Iqaluit,CA,2022-10-14 14:49:02,63.7506,-68.5145,28.13,79,75,10.36
292,Emerald,AU,2022-10-14 14:49:02,-23.5333,148.1667,65.34,73,0,8.86
